a,m1,c1,m2,c2,m3,c3,m4,c4,m5,c5,m6,c6
-0.894, -0.482, -0.745, 1.16, 1.115, 0.901, 1.483, -1.592, -4.694, 0.16, -6.5, -1.0, -15.572
-0.89, -0.503, -0.777, 1.192, 1.188, 0.917, 1.494, -1.625, -4.829, 0.16, -6.5, -1.0, -15.842
-0.886, -0.53, -0.816, 1.228, 1.273, 0.935, 1.501, -1.66, -4.951, 0.16, -6.5, -1.0, -16.0
-0.882, -0.565, -0.862, 1.27, 1.375, 0.955, 1.501, -1.694, -5.055, 0.16, -6.5, -1.0, -16.0
-0.878, -0.599, -0.909, 1.311, 1.477, 0.975, 1.502, -1.728, -5.16, 0.16, -6.5, -1.0, -16.0
-0.874, -0.633, -0.956, 1.352, 1.579, 0.995, 1.502, -1.762, -5.264, 0.16, -6.5, -1.0, -16.0
-0.87, -0.668, -1.002, 1.393, 1.68, 1.015, 1.503, -1.797, -5.369, 0.16, -6.5, -1.0, -16.0
-0.866, -0.702, -1.049, 1.435, 1.782, 1.036, 1.503, -1.831, -5.474, 0.16, -6.5, -1.0, -16.0
-0.862, -0.736, -1.095, 1.476, 1.884, 1.056, 1.504, -1.865, -5.578, 0.16, -6.5, -1.0, -16.0
-0.858, -0.771, -1.142, 1.517, 1.986, 1.076, 1.504, -1.899, -5.683, 0.16, -6.5, -1.0, -16.0
-0.854, -0.805, -1.189, 1.558, 2.088, 1.096, 1.505, -1.934, -5.787, 0.16, -6.5, -1.0, -16.0
-0.85, -0.839, -1.235, 1.6, 2.189, 1.116, 1.505, -1.968, -5.892, 0.16, -6.5, -1.0, -16.0
-0.846, -0.874, -1.282, 1.641, 2.291, 1.136, 1.506, -2.002, -5.996, 0.16, -6.5, -1.0, -16.0
-0.842, -0.908, -1.328, 1.682, 2.393, 1.156, 1.506, -2.036, -6.101, 0.16, -6.5, -1.0, -16.0
-0.838, -0.942, -1.375, 1.724, 2.495, 1.176, 1.507, -2.071, -6.205, 0.16, -6.5, -1.0, -16.0
-0.834, -0.977, -1.422, 1.765, 2.597, 1.197, 1.507, -2.105, -6.31, 0.16, -6.5, -1.0, -16.0
-0.83, -1.011, -1.468, 1.806, 2.698, 1.217, 1.507, -2.139, -6.415, 0.16, -6.5, -1.0, -16.0
-0.826, -1.045, -1.515, 1.847, 2.8, 1.237, 1.508, -2.174, -6.519, 0.16, -6.5, -1.0, -16.0
-0.822, -1.08, -1.561, 1.889, 2.902, 1.257, 1.508, -2.208, -6.624, 0.16, -6.5, -1.0, -16.0
-0.818, -1.114, -1.608, 1.93, 3.004, 1.277, 1.509, -2.242, -6.728, 0.16, -6.5, -1.0, -16.0
-0.814, -1.148, -1.655, 1.971, 3.106, 1.297, 1.509, -2.276, -6.833, 0.16, -6.5, -1.0, -16.0
-0.81, -1.183, -1.701, 2.012, 3.207, 1.317, 1.51, -2.311, -6.937, 0.16, -6.5, -1.0, -16.0
-0.806, -1.217, -1.748, 2.054, 3.309, 1.337, 1.51, -2.345, -7.042, 0.16, -6.5, -1.0, -16.0
-0.802, -1.251, -1.795, 2.095, 3.411, 1.358, 1.511, -2.379, -7.146, 0.16, -6.5, -1.0, -16.0
-0.798, -1.286, -1.841, 2.136, 3.513, 1.378, 1.511, -2.413, -7.251, 0.16, -6.5, -1.0, -16.0
-0.794, -1.32, -1.887, 2.177, 3.612, 1.398, 1.514, -2.447, -7.353, 0.16, -6.499, -1.0, -16.0
-0.79, -1.354, -1.932, 2.218, 3.712, 1.419, 1.517, -2.48, -7.455, 0.16, -6.497, -1.0, -16.0
-0.786, -1.385, -1.972, 2.255, 3.796, 1.444, 1.537, -2.507, -7.542, 0.16, -6.485, -1.0, -16.0
-0.782, -1.412, -1.998, 2.284, 3.85, 1.477, 1.587, -2.521, -7.598, 0.16, -6.454, -1.0, -16.0
-0.778, -1.438, -2.025, 2.314, 3.904, 1.511, 1.638, -2.535, -7.653, 0.16, -6.423, -1.0, -16.0
-0.774, -1.465, -2.051, 2.343, 3.958, 1.544, 1.689, -2.55, -7.709, 0.16, -6.391, -1.0, -16.0
-0.77, -1.491, -2.078, 2.373, 4.013, 1.577, 1.74, -2.564, -7.765, 0.16, -6.36, -1.0, -16.0
-0.766, -1.518, -2.105, 2.403, 4.067, 1.61, 1.791, -2.578, -7.821, 0.16, -6.329, -1.0, -16.0
-0.762, -1.544, -2.131, 2.432, 4.121, 1.643, 1.842, -2.592, -7.877, 0.16, -6.297, -1.0, -16.0
-0.758, -1.571, -2.158, 2.462, 4.175, 1.677, 1.892, -2.607, -7.933, 0.16, -6.266, -1.0, -16.0
-0.754, -1.597, -2.185, 2.492, 4.23, 1.71, 1.943, -2.621, -7.989, 0.16, -6.235, -1.0, -16.0
